,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents,SeriousDlqin2yrs
0,0.398550501,56.0,0.0,0.351303989,9700.0,11.0,0.0,2.0,0.0,0.0,0
1,0.0,48.0,1.0,1064.0,5400.0,3.0,0.0,1.0,0.0,2.0,0
2,0.148393203,78.0,0.0,908.0,5400.0,14.0,0.0,0.0,0.0,0.0,0
3,0.9999998999999999,66.0,0.0,0.0,5400.0,0.0,0.0,0.0,0.0,1.0,0
4,0.13297578,64.0,0.0,0.299492386,6500.0,8.0,0.0,2.0,0.0,0.0,0
5,0.021525537,40.0,0.0,0.311672082,4000.0,19.0,0.0,2.0,0.0,2.0,0
6,0.016842105,58.0,0.0,0.09619597699999999,5020.0,9.0,0.0,0.0,0.0,0.0,0
7,0.590681864,37.0,0.0,2.10385369,1530.0,6.0,0.0,1.0,0.0,0.0,0
8,0.9999998999999999,56.0,1.0,2438.0,0.0,3.0,0.0,1.0,0.0,0.0,0
9,0.6031267539999999,31.0,0.0,0.64073727,3200.0,11.0,0.0,1.0,0.0,1.0,1
10,0.098722785,31.0,0.0,0.084583083,5000.0,7.0,0.0,0.0,0.0,1.0,0
11,0.43542583,25.0,0.0,0.020671835,1547.0,3.0,0.0,0.0,0.0,1.0,0
12,0.024323346000000003,55.0,0.0,0.31466268399999997,4016.0,7.0,0.0,2.0,0.0,0.0,0
13,0.0059039059999999996,71.0,0.0,0.19152096899999999,8750.0,9.0,0.0,1.0,0.0,1.0,0
14,0.035774347000000005,50.0,0.0,0.221871382,9500.0,11.0,0.0,1.0,0.0,0.0,0
15,0.420860439,74.0,0.0,0.697028603,3600.0,7.0,0.0,1.0,0.0,0.0,0
16,0.827417258,66.0,2.0,1.063341251,2525.0,7.0,0.0,2.0,0.0,0.0,0
17,0.263286218,75.0,0.0,0.379115178,10600.0,17.0,0.0,2.0,0.0,0.0,0
18,0.690780768,24.0,0.0,0.37202152200000005,1300.0,7.0,0.0,0.0,0.0,0.0,0
19,0.384673734,49.0,0.0,0.36343642600000003,7274.0,18.0,0.0,2.0,0.0,1.0,0
20,0.367933103,26.0,0.0,0.403990025,400.0,5.0,0.0,0.0,0.0,0.0,0
21,0.021387242,43.0,1.0,0.230089662,7583.0,11.0,0.0,1.0,0.0,4.0,0
22,0.20379620399999998,31.0,0.0,0.003806844,24166.0,3.0,0.0,0.0,0.0,0.0,0
23,0.0,47.0,0.0,2199.0,5400.0,6.0,0.0,1.0,0.0,0.0,0
24,0.014452116000000001,58.0,0.0,0.22004972899999997,8847.0,11.0,0.0,1.0,0.0,3.0,0
25,0.320795143,26.0,0.0,0.09987515599999999,800.0,3.0,0.0,0.0,0.0,0.0,0
26,0.00627987,72.0,0.0,424.0,5400.0,12.0,0.0,1.0,0.0,0.0,0
27,0.153929848,71.0,0.0,0.310319228,4040.0,12.0,0.0,1.0,0.0,0.0,0
28,0.00585603,47.0,0.0,0.280813653,5800.0,7.0,0.0,2.0,0.0,0.0,0
29,0.041091746,44.0,0.0,0.017818444,4152.0,7.0,0.0,1.0,0.0,0.0,0
30,0.97551339,50.0,0.0,0.520638361,10150.0,10.0,0.0,3.0,0.0,1.0,0
31,0.746849467,55.0,2.0,0.313947504,3885.0,10.0,0.0,0.0,1.0,0.0,1
32,0.8270434529999999,63.0,0.0,0.425396014,11741.0,11.0,0.0,2.0,0.0,0.0,0
33,0.30954755,44.0,0.0,0.330057526,4171.0,14.0,0.0,1.0,0.0,1.0,0
34,0.517376233,51.0,1.0,0.212694771,10460.0,17.0,0.0,2.0,0.0,0.0,0
35,0.005600300999999999,78.0,0.0,0.005623243000000001,3200.0,11.0,0.0,0.0,0.0,0.0,0
36,0.369663034,36.0,2.0,0.312938426,5131.0,12.0,0.0,0.0,1.0,3.0,1
37,0.07416165599999999,51.0,0.0,2112.0,5400.0,11.0,0.0,2.0,0.0,1.0,0
38,0.21679941100000003,55.0,0.0,0.6410059020000001,3896.0,6.0,0.0,2.0,0.0,2.0,0
39,0.196153185,46.0,0.0,0.36457957399999996,5400.0,16.0,0.0,4.0,0.0,0.0,0
40,0.096506839,53.0,0.0,0.207320714,16746.0,11.0,0.0,2.0,0.0,2.0,0
41,0.007499464,60.0,0.0,0.135862202,5166.0,6.0,0.0,0.0,0.0,0.0,0
42,0.114597716,46.0,0.0,94.0,5400.0,6.0,0.0,0.0,0.0,0.0,0
43,0.295164895,36.0,0.0,0.230192452,4000.0,6.0,0.0,0.0,0.0,0.0,0
44,0.215925278,43.0,0.0,0.268511685,8129.0,7.0,0.0,2.0,0.0,2.0,0
45,0.776630976,76.0,0.0,0.8045757859999999,2097.0,7.0,0.0,1.0,0.0,0.0,0
46,0.01505639,61.0,0.0,0.38453562399999996,6750.0,9.0,0.0,1.0,0.0,0.0,0
47,0.017317133000000002,66.0,0.0,0.013463167,11809.0,11.0,0.0,1.0,0.0,0.0,0
48,0.030362832000000003,55.0,0.0,1557.0,5400.0,6.0,0.0,1.0,0.0,1.0,0
49,0.153183149,49.0,0.0,0.617504543,3301.0,15.0,0.0,2.0,0.0,0.0,0
50,0.175856226,45.0,1.0,0.42362468600000003,3580.0,8.0,0.0,1.0,0.0,3.0,0
51,0.23514411600000001,84.0,0.0,1017.0,5400.0,16.0,0.0,0.0,0.0,0.0,0
52,0.019433433,43.0,0.0,0.172389737,12900.0,12.0,0.0,1.0,0.0,3.0,0
53,0.48140741200000003,43.0,0.0,0.45014182799999997,4582.0,4.0,0.0,2.0,0.0,0.0,0
54,0.20161807,78.0,0.0,0.19460250399999998,6150.0,5.0,0.0,0.0,0.0,0.0,0
55,0.027549896,85.0,0.0,0.012787723999999999,1563.0,6.0,0.0,0.0,0.0,0.0,0
56,0.0,72.0,0.0,0.054060434000000004,4235.0,3.0,0.0,1.0,0.0,0.0,0
57,0.898686311,32.0,0.0,1.132420771,6720.0,13.0,0.0,1.0,0.0,0.0,0
58,0.613741619,64.0,2.0,1.096361455,2500.0,12.0,0.0,1.0,0.0,0.0,0
59,0.00037939699999999996,88.0,0.0,0.280287885,2500.0,7.0,0.0,2.0,0.0,0.0,0
60,0.060493322999999995,45.0,1.0,0.284844796,11500.0,10.0,0.0,1.0,0.0,2.0,0
61,0.253741631,34.0,0.0,0.16989827,11500.0,15.0,0.0,0.0,0.0,1.0,0
62,0.106158479,47.0,0.0,0.087799791,9589.0,10.0,0.0,1.0,0.0,3.0,0
63,0.072846358,45.0,0.0,2617.0,5400.0,5.0,0.0,1.0,0.0,0.0,0
64,0.580032531,71.0,0.0,0.151531931,5417.0,10.0,0.0,0.0,0.0,0.0,0
65,0.005589490999999999,64.0,0.0,0.075440829,5500.0,6.0,0.0,1.0,0.0,1.0,0
66,0.211739244,61.0,0.0,0.248791868,6000.0,10.0,0.0,1.0,0.0,0.0,0
67,1.000533262,64.0,0.0,253.0,5400.0,1.0,0.0,0.0,0.0,1.0,0
68,0.012999628999999999,37.0,0.0,0.25049990899999997,5500.0,7.0,0.0,0.0,0.0,2.0,0
69,0.011342155,61.0,0.0,0.29847868,4666.0,7.0,0.0,1.0,0.0,3.0,0
70,0.035363458,71.0,1.0,0.053789242,5000.0,6.0,0.0,1.0,0.0,0.0,0
71,0.7387916059999999,56.0,0.0,0.540807914,3638.0,6.0,0.0,2.0,0.0,0.0,0
72,0.059998845999999995,57.0,0.0,0.35362941700000006,4187.0,4.0,0.0,1.0,0.0,0.0,0
73,0.00398508,44.0,0.0,0.401364545,8500.0,12.0,0.0,1.0,0.0,0.0,0
74,0.17225110100000002,41.0,0.0,0.332066793,10000.0,9.0,0.0,1.0,0.0,1.0,0
75,0.513119284,45.0,0.0,0.290328896,5107.0,9.0,0.0,1.0,0.0,1.0,0
76,0.07011268799999999,28.0,0.0,54.0,5400.0,1.0,0.0,0.0,0.0,0.0,0
77,0.187116433,59.0,1.0,1.071928072,1000.0,12.0,0.0,1.0,0.0,0.0,0
78,1.055014308,36.0,2.0,0.305763529,19900.0,12.0,10.0,2.0,3.0,3.0,1
79,0.013818401000000001,66.0,1.0,0.148594378,5477.0,6.0,0.0,1.0,0.0,1.0,0
80,0.555492457,61.0,0.0,0.435614691,10972.0,18.0,0.0,4.0,0.0,2.0,0
81,0.8304584770000001,44.0,0.0,2009.0,5400.0,6.0,0.0,1.0,0.0,2.0,0
82,0.000967638,87.0,0.0,1044.0,5400.0,4.0,0.0,1.0,0.0,0.0,0
